Mortalidade Geral em investigação
Óbitos Residentes MSP por Subprefeitura residência e Causas específicas
Faixa Etária OMS: <1 Ano, 1-4, 5-14, 15-24, 25-34, 35-44, 45-54, 55-64, 65-74
Período:2024
"Subprefeitura residência";"Doencas infec intest";"Tuberculose";"Infec menigocóccica";"Septicemia";"Aids";"Covid19";"Hepatites virais";"CA esôfago";"CA estômago";"CA colon";"CA reto, JRS, ânus";"CA fígado";"CA pâncreas";"CA laringe";"CA pulmão";"CA mama";"CA ovário";"CA colo de utero";"CA útero porção n/esp";"CA próstata";"CA encéfalo";"Leucemias";"Linfomas";"Anemias";"Diabetes mellitus";"Desnutrição";"Obesidade";"Alcoolismo";"Meningites";"D. Alzheimer";"Demência";"D. reumática crônica coração";"D. hipertensivas";"Doenças isquêmicas coração";"D. circulacao pulmonar";"Miocardiopatias";"Insuficiencia cardiaca";"D. cerebrovasculares";"Aneurisma e dissecção aorta";"Pneumonias";"Bronquite, enfisema, asma";"Outras doenças pulmão";"Úlcera estômago e duodeno";"Doença alcoólica do fígado";"Fibrose e cirrose hepática (exceto alcóol.)";"Insuficiência renal";"Infecção do trato urinário n/ espec";"Gravidez, parto e puerpério";"Feto/RN afet fat matern e compl grav,parto";"Hipóxia intra-uterina/asfixia nascer";"D. membrana hialina";"Outras afec. respiratórias RN";"Infecções espec. periodo perinatal";"Demais causas perinatais";"Anom congenitas sist nervoso";"Anom congenitas coracao e circ";"Anom congenitas ap digestivo";"Demais anomalias congênitas";"Mal definidas";"Acid trânsito e transporte terrestres";"Quedas acidentais";"Demais acidentes";"Suicídios";"Homicídios";"Lesões intenc indeterminada";"Demais causas externas";"Demais causas de morte";"Total"
"Aricanduva/Formosa/Carrão";4;9;-;9;6;2;3;3;15;13;12;16;26;4;29;23;7;6;2;8;11;6;6;3;26;-;3;2;2;3;2;1;30;162;22;10;19;61;20;92;43;7;3;14;14;5;10;-;4;2;-;-;1;1;3;2;-;5;38;10;5;19;3;3;46;1;260;1177
"Butantã";5;10;1;12;12;3;2;8;20;26;15;20;22;4;42;38;7;8;2;16;14;11;7;3;26;1;2;1;1;6;4;2;26;177;17;27;21;67;19;68;40;8;5;7;10;8;9;1;5;-;2;2;4;9;3;5;-;4;62;13;10;23;6;10;66;3;292;1380
"Campo Limpo";7;16;-;17;23;7;7;19;34;33;24;24;25;6;54;67;9;18;3;13;24;16;14;1;59;2;4;4;5;5;3;7;58;276;45;22;17;135;26;131;42;10;10;23;27;9;20;1;17;5;5;2;7;8;1;10;1;12;119;30;15;22;9;18;104;8;459;2254
"Capela do Socorro";7;16;-;24;15;3;3;20;35;46;24;16;28;12;65;47;9;14;7;17;16;14;13;6;66;1;4;1;4;10;3;2;60;316;64;26;19;144;38;152;66;12;23;22;23;9;19;2;20;4;1;3;4;11;2;6;2;18;99;44;25;37;15;35;80;6;509;2464
"Casa Verde/Cachoeirinha";4;15;-;27;19;1;3;5;19;25;15;17;17;6;44;34;6;8;7;11;12;15;8;8;42;3;6;3;2;2;3;1;28;164;36;20;18;96;14;91;37;11;8;11;8;4;15;2;2;4;-;3;3;5;2;4;1;5;75;14;5;11;5;5;52;3;288;1438
"Cidade Ademar";-;20;2;13;14;3;1;14;26;32;23;6;23;6;36;40;10;9;2;8;13;7;10;-;54;-;4;4;1;8;5;6;38;204;49;22;21;83;25;107;43;9;10;19;13;10;14;3;13;1;-;3;8;8;3;5;1;9;78;12;8;18;14;9;75;3;312;1650
"Cidade Tiradentes";1;12;1;14;9;1;2;4;7;10;8;6;13;2;21;18;2;6;2;5;6;4;4;5;25;-;4;2;2;4;1;1;23;101;21;20;13;62;6;73;25;7;2;8;11;5;12;-;7;-;1;-;2;6;3;-;1;4;45;2;1;14;3;6;51;1;183;921
"Ermelino Matarazzo";3;10;-;12;7;-;1;5;14;13;16;5;14;1;23;16;4;5;2;3;5;5;4;4;26;-;1;3;2;2;3;-;30;98;28;8;10;50;20;61;29;4;8;10;9;4;13;2;1;1;-;1;4;1;1;3;-;4;30;4;2;16;6;3;36;-;200;906
"Freguesia/Brasilândia";6;20;-;23;16;2;3;11;25;25;18;13;18;6;50;45;5;6;3;6;14;16;12;2;59;3;4;4;7;-;3;4;47;229;46;29;25;113;19;132;53;9;9;18;21;19;19;2;11;2;3;1;3;13;4;6;-;7;97;19;13;26;5;8;80;2;353;1872
"Guaianases";1;16;-;16;12;1;1;4;13;16;16;6;10;6;23;17;9;5;1;7;6;6;4;10;46;-;1;3;4;3;2;1;28;122;33;18;23;83;13;89;44;11;8;9;3;10;9;1;10;2;2;-;5;10;3;10;1;2;55;2;4;10;-;5;68;3;255;1217
